Nama,Ratings,Foto,Makanan,Location
Warung Muslim B.Nadia,4.8,https://lh5.googleusercontent.com/p/AF1QipNcapeqi0aIgMYp6f7UIvatVLDiq6ghit1Bq5RQ=w80-h106-k-no,Halal,"Jl. Gn. Talang VI, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119"
Warung Sulawesi,4.4,https://lh5.googleusercontent.com/p/AF1QipPHO9he4ir4lcDKKOUKdpJuE6RfItsUwOqd-IC4=w122-h92-k-no,Halal,"Jl. Petitenget No.57 B, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361"
Warung Babi Guling Dayu Kencani,4.5,https://lh5.googleusercontent.com/p/AF1QipMo1-HKwyQ-Gp1HnanWS-CGgLnrh2s64fWgC4Ft=w122-h92-k-no,Pork,"Jl. Raya Kuta No.116, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Babi Guling Pak Malen,4.4,https://lh5.googleusercontent.com/p/AF1QipOeDYUr-Nmn8oyrUPfidyzuG9XvT1-lb3DQT_tc=w122-h92-k-no,Pork,"Jl. Sunset Road No.554, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361"
Babi Guling Sari Kembar 99,4.4,https://lh5.googleusercontent.com/p/AF1QipNgaTRhHqbw62ZFonv3c6UbvTVlQKpwyhs3w4Bx=w122-h92-k-no,Pork,"Jalan Teuku Umar Barat No. 99 Denpasar Barat Kerobokan Kelod Denpasar, Kerobokan Kelod, Kabupaten Badung, Bali 80119"
Warung Babi Guling Sari Dewi Bp. Dobil,4.5,https://lh5.googleusercontent.com/p/AF1QipOskFVp2i-ksQiSz2zFANywy1efUCt9LGaeG6so=w122-h92-k-no,Pork,"Jl. Srikandi No.9, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361"
Rumah Makan Babi Guling Karya Rebo,4.3,https://lh5.googleusercontent.com/p/AF1QipOMxJSCKhDhzceVwAfXSBMu5q7vKmmYZDld-2kY=w122-h92-k-no,Pork,"Jl. Toyaning No.1, Kedonganan, Kec. Kuta, Kabupaten Badung, Bali 80361"
Sate Babi Bawah Pohon(SBBP CAMPUHAN)ex Gelora Tri sakti Legian,4.5,https://lh5.googleusercontent.com/p/AF1QipMBvbgIjIQy5XK1xaKh5R8TGinRCHu-u0BOfSLN=w122-h92-k-no,Pork,"Campuhan I, Jl. Dewi Sri IV Jl. Campuhan I - Dewi Sri No.8, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Babi Guling Candra,4.3,https://lh5.googleusercontent.com/p/AF1QipMGCNEpjKA-nz7ngadGKTQ6mommXJM1P5eaS9SH=w122-h92-k-no,Pork,"Jl. Pulau Yapen No.14, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
The Babi Ngempet (sate babi khas bali),5,https://lh5.googleusercontent.com/p/AF1QipMgxxQt78uy-Y-8VvGh7qPMXNEO37k8kRIHNq1R=w122-h92-k-no,Pork,"Jl. Pulau Belitung No.16, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80222"
